"","Player","Span","Mat","Start","Sub","Pts","Tries","Conv","Pens","Drop","GfM","Won","Lost","Draw","%"
"273","JM Fernandez Lobbe (Arg)","2004-2015",71,69,2,"25",5,0,0,0,0,30,40,1,42.95
"274","BT Foley (Aust)","2013-2019",71,62,9,"622",16,124,97,1,0,33,35,3,48.59
"275","JM Gaminara (Urug)","2010-2019",71,66,5,"36",7,0,0,0,0,34,35,2,49.29
"276","D Gerasimov (Russ)","2008-2020",71,61,10,"50",10,0,0,0,0,29,42,0,40.84
"277","SB Grimes (Scot)","1997-2005",71,52,19,"25",5,0,0,0,0,27,43,1,38.73
"278","NT Little (Fiji)","1996-2011",71,60,11,"670",2,117,140,2,0,37,34,0,52.11
"279","JWG Marler (Eng)","2012-2020",71,51,20,"0",0,0,0,0,0,46,24,1,65.49
"280","DA Mitchell (Aust)","2005-2016",71,54,17,"170",34,0,0,0,0,40,29,2,57.74
"281","AM Nieto Serra (Urug)","2012-2019",71,62,9,"35",7,0,0,0,0,40,30,1,57.04
"282","MRJ Parra (Fra)","2008-2019",71,45,26,"370",3,47,86,1,0,37,32,2,53.52
"283","A Pichot (Arg)","1995-2007",71,69,2,"60",12,0,0,0,0,34,36,1,48.59
"284","EGE Reddan (Ire)","2006-2016",71,26,45,"10",2,0,0,0,0,34,35,2,49.29
"285","JL Sadourny (Fra)","1991-2001",71,66,5,"86",15,0,0,4,0,46,24,1,65.49
"286","AC Stoica (Italy)","1997-2007",71,70,1,"55",11,0,0,0,0,21,49,1,30.28
"287","L Thompson (JPN)","2007-2019",71,59,12,"45",9,0,0,0,0,44,25,2,63.38
"288","PAT Weepu (NZ)","2004-2013",71,25,46,"103",7,10,16,0,0,62,8,1,88.02
"289","QS Cooper (Aust)","2008-2017",70,50,20,"154",8,27,18,2,0,42,27,1,60.71
"290","JN du Plessis (SA)","2007-2015",70,58,12,"5",1,0,0,0,0,48,20,2,70
"291","A Enciso Fernandez-Valderama (Spain)","1993-2006",70,67,3,"45",9,0,0,0,0,28,41,1,40.71
"292","A Ianyushkin (Russ)","2002-2015",70,49,21,"116",10,9,16,0,0,31,37,2,45.71
"293","EA Jantjies (Namib)","2006-2019",70,46,24,"72",3,15,8,1,0,35,34,1,50.71
"294","KM Logan (Scot)","1992-2003",70,63,7,"220",13,34,29,0,0,27,40,3,40.71
"295","KM Maggs (Ire)","1997-2005",70,59,11,"75",15,0,0,0,0,39,30,1,56.42
"296","AP Mehrtens (NZ)","1995-2004",70,62,8,"967",7,169,188,10,0,49,19,2,71.42
"297","G Mieres Valente (Urug)","2010-2019",70,60,10,"65",13,0,0,0,0,38,30,2,55.71
"298","JPR Pietersen (SA)","2006-2016",70,65,5,"120",24,0,0,0,0,51,18,1,73.57
"299","TGL Shanklin (Wales)","2001-2010",70,56,14,"100",20,0,0,0,0,32,36,2,47.14
"300","JH Smith (SA)","2003-2014",70,65,5,"60",12,0,0,0,0,49,21,0,70
"301","DA Toner (Ire)","2010-2020",70,53,17,"10",2,0,0,0,0,50,19,1,72.14
"302","AD Trimble (Ire)","2005-2017",70,57,13,"85",17,0,0,0,0,38,30,2,55.71
"303","M Urjukashvili (Georg)","1997-2011",70,66,4,"320",17,47,46,1,0,40,30,0,57.14
"304","AKE Baxter (Aust)","2003-2009",69,45,24,"5",1,0,0,0,0,40,28,1,58.69
"305","R Bertranne (Fra)","1971-1981",69,69,0,"66",17,0,0,0,0,38,25,6,59.42
"306","DS Coles (NZ)","2012-2019",69,49,20,"55",11,0,0,0,0,59,8,2,86.95
"307","M Cuttitta (Italy)","1990-2000",69,66,3,"29",6,0,0,0,0,32,36,1,47.1
"308","P de Villiers (Fra)","1999-2007",69,53,16,"10",2,0,0,0,0,45,22,2,66.66
"309","C Dinu (Rom)","1965-1983",69,69,0,"0",0,0,0,0,0,46,19,4,69.56
"310","GT Ford (Eng)","2014-2020",69,52,17,"308",10,54,48,2,0,52,16,1,76.08
"311","E Gori (Italy)","2010-2019",69,49,20,"35",7,0,0,0,0,19,50,0,27.53
"312","SP Horgan (Ire/Lions)","2000-2009",69,62,7,"105",21,0,0,0,0,40,27,2,59.42
"313","I Klyuchnikov (Russ)","2003-2015",69,63,6,"96",6,12,14,0,0,32,36,1,47.1
"314","BC Moore (Eng/Lions)","1987-1995",69,68,1,"4",1,0,0,0,0,48,20,1,70.28
"315","F Murariu (Rom)","1976-1989",69,68,1,"32",8,0,0,0,0,45,22,2,66.66
"316","PG Saint-Andre (Fra)","1990-1997",69,68,1,"152",32,0,0,0,0,46,22,1,67.39
"317","SJ Cane (NZ)","2012-2019",68,48,20,"65",13,0,0,0,0,59,7,2,88.23
"318","G Dumitru (Rom)","1973-1987",68,67,1,"12",3,0,0,0,0,42,24,2,63.23
"319","A Fatakhov (Russ)","2005-2015",68,44,24,"5",1,0,0,0,0,28,38,2,42.64
"320","AG Hastings (Lions/Scot)","1986-1995",68,68,0,"736",18,87,161,0,0,35,31,2,52.94
"321","T Kikutani (JPN)","2005-2014",68,57,11,"160",32,0,0,0,0,41,26,1,61.02
"322","MG Leitch (JPN)","2008-2019",68,62,6,"95",19,0,0,0,0,46,20,2,69.11
"323","PJ O'Mahony (Ire/Lions)","2012-2020",68,59,9,"10",2,0,0,0,0,43,23,2,64.7
"324","JT Rokocoko (NZ)","2003-2010",68,66,2,"230",46,0,0,0,0,55,13,0,80.88
"325","CM Arboleya Sarazola (Urug)","2004-2018",67,39,28,"25",5,0,0,0,0,29,37,1,44.02
"326","G Begadze (Georg)","2011-2020",67,33,34,"5",1,0,0,0,0,44,21,2,67.16
"327","V Clerc (Fra)","2002-2013",67,57,10,"170",34,0,0,0,0,42,22,3,64.92
"328","C Dominici (Fra)","1998-2007",67,59,8,"125",25,0,0,0,0,44,23,0,65.67
"329","SH Easterby (Ire/Lions)","2000-2008",67,59,8,"45",9,0,0,0,0,43,23,1,64.92
"330","P Feijoo Ugalde (Spain)","2002-2015",67,50,17,"100",20,0,0,0,0,28,37,2,43.28
"331","Q Geldenhuys (Italy)","2009-2016",67,57,10,"0",0,0,0,0,0,17,50,0,25.37
"332","S Hastings (Lions/Scot)","1986-1997",67,65,2,"43",10,0,0,0,0,36,29,2,55.22
"333","DJ Herbert (Aust)","1994-2002",67,66,1,"55",11,0,0,0,0,50,16,1,75.37
"334","MJ Horan (Ire)","2000-2011",67,48,19,"30",6,0,0,0,0,44,23,0,65.67
"335","CR Jack (NZ)","2001-2007",67,59,8,"25",5,0,0,0,0,57,10,0,85.07
"336","PN Kearns (Aust)","1989-1999",67,65,2,"34",8,0,0,0,0,50,17,0,74.62
"337","G Labadze (Georg)","1996-2012",67,64,3,"60",12,0,0,0,0,39,25,3,60.44
"338","BP Lima (PI/Samoa)","1991-2007",67,63,4,"140",29,0,0,0,0,32,33,2,49.25
"339","DJ Lydiate (Lions/Wales)","2009-2018",67,61,6,"5",1,0,0,0,0,37,28,2,56.71
"340","MS MacDonald (USA)","2000-2012",67,56,11,"30",6,0,0,0,0,21,46,0,31.34
"341","DA Parks (Scot)","2004-2012",67,47,20,"266",4,15,55,17,0,25,41,1,38.05
"342","RT Sanchez (Urug)","1996-2009",67,58,9,"25",5,0,0,0,0,26,41,0,38.8
"343","TJ Smith (Lions/Scot)","1997-2005",67,67,0,"30",6,0,0,0,0,29,37,1,44.02
"344","FPL Steyn (SA)","2006-2019",67,38,29,"141",11,7,21,3,0,51,14,2,77.61
"345","JJ Thomas (Wales)","2003-2011",67,40,27,"35",7,0,0,0,0,30,34,3,47.01
"346","LD Tuqiri (Aust)","2003-2008",67,59,8,"150",30,0,0,0,0,40,26,1,60.44
"347","MI Ayerza (Arg)","2004-2015",66,43,23,"5",1,0,0,0,0,29,36,1,44.69
"348","IJA Dagg (NZ)","2010-2017",66,63,3,"138",26,1,2,0,0,60,4,2,92.42
"349","BS Davies (Wales)","2009-2019",66,44,22,"0",0,0,0,0,0,31,33,2,48.48
"350","RJ Gray (Lions/Scot)","2010-2018",66,56,10,"15",3,0,0,0,0,32,34,0,48.48
"351","S Horie (JPN)","2009-2019",66,59,7,"50",10,0,0,0,0,43,21,2,66.66
"352","P James (Wales)","2003-2016",66,35,31,"0",0,0,0,0,0,30,35,1,46.21
"353","PN Matera (Arg)","2013-2019",66,61,5,"30",6,0,0,0,0,18,48,0,27.27
"354","EA Murray (Scot)","2005-2015",66,58,8,"10",2,0,0,0,0,25,40,1,38.63
"355","H Porta (Arg/SthAm)","1971-1990",66,66,0,"656",12,91,115,28,0,26,35,5,43.18
"356","F Puertas Soto (Spain)","1984-1999",66,64,2,"97",9,7,13,1,0,18,46,2,28.78
"357","CDC Robshaw (Eng)","2009-2018",66,66,0,"10",2,0,0,0,0,44,22,0,66.66
"358","M Sanguinetti (Urug)","2014-2019",66,53,13,"15",3,0,0,0,0,35,31,0,53.03
"359","M Sharikadze (Georg)","2012-2019",66,64,2,"62",12,1,0,0,0,42,22,2,65.15
"360","GM Somerville (NZ)","2000-2008",66,48,18,"5",1,0,0,0,0,55,11,0,83.33
"361","WU Stanley (Can)","1994-2003",66,64,2,"123",24,0,0,1,0,27,38,1,41.66
"362","M Steyn (SA)","2009-2016",66,53,13,"736",8,102,154,10,0,41,23,2,63.63
"363","JA Strauss (SA)","2008-2016",66,35,31,"30",6,0,0,0,0,37,27,2,57.57
"364","SM Taylor (Scot)","2000-2009",66,65,1,"30",6,0,0,0,0,29,37,0,43.93
"365","F Trinh-Duc (Fra)","2008-2018",66,41,25,"93",9,6,5,7,0,34,30,2,53.03
"366","VN Ursache (Rom)","2004-2018",66,48,18,"20",4,0,0,0,0,37,26,3,58.33
"367","AG Venter (SA)","1996-2001",66,57,9,"45",9,0,0,0,0,41,24,1,62.87
"368","LB Williams (Lions/Wales)","2012-2020",66,59,7,"70",14,0,0,0,0,37,27,2,57.57
"369","I Zedginidze (Georg)","1998-2011",66,64,2,"65",13,0,0,0,0,38,24,4,60.6
"370","D Cuesta Silva (Arg/SthAm)","1983-1995",65,65,0,"125",28,0,0,0,0,31,32,2,49.23
"371","TI Dimofte (Rom)","2004-2013",65,55,10,"95",13,3,8,0,0,38,24,3,60.76
"372","CI Fernandez Lobbe (Arg)","1996-2008",65,60,5,"30",6,0,0,0,0,33,32,0,50.76
"373","OJ Hasan Jalil (Arg)","1995-2007",65,48,17,"20",4,0,0,0,0,34,30,1,53.07
"374","AF Jacobsen (Scot)","2002-2012",65,51,14,"0",0,0,0,0,0,24,40,1,37.69
"375","JO Launchbury (Eng)","2012-2020",65,48,17,"25",5,0,0,0,0,46,18,1,71.53
"376","V Lucaci (Rom)","2009-2019",65,57,8,"50",10,0,0,0,0,46,18,1,71.53
"377","Y Maestri (Fra)","2012-2018",65,61,4,"5",1,0,0,0,0,25,38,2,40
"378","E Matveev (Russ)","2007-2020",65,26,39,"65",13,0,0,0,0,26,38,1,40.76
"379","P Pape (Fra)","2004-2015",65,57,8,"25",5,0,0,0,0,38,25,2,60
"380","JF Slattery (Ire/Lions)","1970-1984",65,65,0,"12",3,0,0,0,0,27,30,8,47.69
"381","MWIWNA Vunipola (Eng/Lions)","2012-2020",65,33,32,"5",1,0,0,0,0,47,17,1,73.07
"382","PJ Winterbottom (Eng/Lions)","1982-1993",65,65,0,"13",3,0,0,0,0,32,31,2,50.76
"383","KDR Brown (Scot)","2005-2014",64,46,18,"20",4,0,0,0,0,25,38,1,39.84
"384","S Dellape (Italy)","2002-2011",64,53,11,"15",3,0,0,0,0,18,45,1,28.9
"385","F Galthie (Fra)","1991-2003",64,58,6,"49",10,0,0,0,0,38,25,1,60.15
"386","A Giorgadze (Georg)","1996-2011",64,54,10,"60",12,0,0,0,0,38,24,2,60.93
"387","IM Gough (Wales)","1998-2010",64,52,12,"5",1,0,0,0,0,30,30,4,50
"388","BJ Kay (Eng/Lions)","2001-2009",64,49,15,"10",2,0,0,0,0,44,19,1,69.53
"389","PGFG Mesquita de Foro (Port)","2007-2017",64,54,10,"110",22,0,0,0,0,22,40,2,35.93
"390","K Mikautadze (Georg)","2010-2020",64,53,11,"10",2,0,0,0,0,35,28,1,55.46
"391","BJ Paulse (SA)","1999-2007",64,58,6,"130",26,0,0,0,0,36,27,1,57.03
"392","TTR Perenara (NZ)","2014-2019",64,16,48,"65",13,0,0,0,0,54,8,2,85.93
"393","A Qera (Fiji)","2005-2018",64,55,9,"45",9,0,0,0,0,32,30,2,51.56
"394","G Shvelidze (Georg)","1998-2011",64,51,13,"35",7,0,0,0,0,37,24,3,60.15
"395","DS Stewart (Can)","1989-2001",64,62,2,"84",5,9,14,0,0,29,34,1,46.09
"396","P Vaccari (Italy)","1991-2003",64,63,1,"107",22,0,0,0,0,27,36,1,42.96
"397","H Agulla (Arg)","2005-2015",63,52,11,"30",6,0,0,0,0,25,37,1,40.47
"398","SB Betsen Tchoua (Fra)","1997-2007",63,50,13,"45",9,0,0,0,0,43,19,1,69.04
"399","NL Blevins (Can)","2009-2019",63,47,16,"60",12,0,0,0,0,22,40,1,35.71
"400","MJ Cockbain (Aust)","1997-2003",63,34,29,"5",1,0,0,0,0,46,16,1,73.8
"401","M Crauste (Fra)","1957-1966",63,63,0,"30",10,0,0,0,0,38,16,9,67.46
"402","B Dauga (Fra)","1964-1972",63,63,0,"34",11,0,0,0,0,30,26,7,53.17
"403","GO Edwards (Lions/Wales)","1967-1978",63,63,0,"91",20,2,1,4,0,40,15,8,69.84
"404","NC Farr-Jones (Aust)","1984-1993",63,62,1,"37",9,0,0,0,0,42,20,1,67.46
"405","JL Hamilton (Scot)","2006-2015",63,51,12,"5",1,0,0,0,0,18,44,1,29.36
"406","DA Hickie (Ire/Lions)","1997-2007",63,63,0,"145",29,0,0,0,0,40,22,1,64.28
"407","T Ito (JPN)","1996-2005",63,40,23,"30",6,0,0,0,0,26,36,1,42.06
"408","JJP Kirwan (NZ)","1984-1994",63,62,1,"143",35,0,0,0,0,48,12,3,78.57
"409","MA Lazar (Rom)","2008-2019",63,49,14,"15",3,0,0,0,0,37,24,2,60.31
"410","JT Lomu (NZ)","1994-2002",63,54,9,"185",37,0,0,0,0,44,17,2,71.42
"411","A Malo Navio (Spain)","1985-1999",63,62,1,"9",2,0,0,0,0,22,40,1,35.71
"412","M Medard (Fra)","2008-2019",63,52,11,"73",14,0,0,1,0,35,27,1,56.34
"413","M Portela de Morais (Port)","1996-2010",63,58,5,"33",6,0,1,0,0,27,32,4,46.03
"414","M Rees (Lions/Wales)","2005-2014",63,50,13,"10",2,0,0,0,0,24,38,1,38.88
"415","DJ Rossouw (SA)","2003-2011",63,42,21,"50",10,0,0,0,0,40,22,1,64.28
"416","ST Sio (Aust)","2013-2019",63,51,12,"5",1,0,0,0,0,32,29,2,52.38
"417","S Sititi (PI/Samoa)","1999-2009",63,51,12,"85",17,0,0,0,0,33,30,0,52.38
"418","Y Tamura (JPN)","2012-2019",63,49,14,"273",5,55,46,0,0,41,21,1,65.87
"419","DJ Vickerman (Aust)","2002-2011",63,41,22,"0",0,0,0,0,0,38,24,1,61.11
"420","JPR Williams (Lions/Wales)","1969-1981",63,63,0,"39",6,2,3,1,0,42,15,6,71.42
"421","KGM Wood (Ire/Lions)","1994-2003",63,60,3,"75",15,0,0,0,0,26,36,1,42.06
"422","T Benvenuti (Italy)","2010-2019",62,48,14,"35",7,0,0,0,0,18,44,0,29.03
"423","RM Brooke (NZ)","1992-1999",62,61,1,"20",4,0,0,0,0,47,13,2,77.41
"424","S Chabal (Fra)","2000-2011",62,33,29,"30",6,0,0,0,0,35,26,1,57.25
"425","AG Foley (Ire)","1995-2005",62,59,3,"25",5,0,0,0,0,37,24,1,60.48
"426","L Gross (USA)","1996-2003",62,61,1,"0",0,0,0,0,0,21,41,0,33.87
"427","JE Horwill (Aust)","2007-2016",62,53,9,"30",6,0,0,0,0,35,26,1,57.25
"428","DC Howlett (NZ)","2000-2007",62,55,7,"245",49,0,0,0,0,51,10,1,83.06
"429","YE Huget (Fra)","2010-2019",62,54,8,"70",14,0,0,0,0,29,32,1,47.58
"430","GDC Ma'afu (Fiji)","2010-2019",62,52,10,"10",2,0,0,0,0,31,29,2,51.61
"431","L Nakarawa (Fiji)","2009-2019",62,57,5,"65",13,0,0,0,0,33,28,1,54.03
"432","M Paraschivescu (Rom)","1975-1987",62,60,2,"24",6,0,0,0,0,40,20,2,66.12
"433","J Pritchard (Can)","2003-2015",62,58,4,"607",18,104,103,0,0,26,34,2,43.54
"434","RGA Snow (Can)","1995-2007",62,59,3,"40",8,0,0,0,0,27,33,2,45.16
"435","R So'oialo (NZ)","2002-2009",62,53,9,"30",6,0,0,0,0,53,9,0,85.48
"436","M Alemanno (Arg)","2014-2019",61,34,27,"20",4,0,0,0,0,17,44,0,27.86
"437","S Baikeinuku (Fiji/PI)","2000-2016",61,54,7,"356",5,65,66,1,0,28,32,1,46.72
"438","CM Chalmers (Lions/Scot)","1989-1999",61,58,3,"172",5,11,33,10,0,28,31,2,47.54
"439","J Condom (Fra)","1982-1990",61,60,1,"0",0,0,0,0,0,38,19,4,65.57
"440","R Howley (Lions/Wales)","1996-2002",61,60,1,"50",10,0,0,0,0,29,31,1,48.36
"441","B Khamashuridze (Georg)","1998-2011",61,51,10,"75",15,0,0,0,0,34,25,2,57.37
"442","RTRN Kuridrani (Aust)","2013-2019",61,51,10,"110",22,0,0,0,0,32,27,2,54.09
"443","WJ le Roux (SA)","2013-2019",61,56,5,"60",12,0,0,0,0,40,20,1,66.39
"444","M Nariashvili (Georg)","2012-2020",61,53,8,"5",1,0,0,0,0,38,23,0,62.29
"445","SK O'Brien (Ire/Lions)","2009-2019",61,53,8,"35",7,0,0,0,0,32,26,3,54.91
"446","MA Ross (Ire)","2009-2016",61,59,2,"0",0,0,0,0,0,37,22,2,62.29
"447","O Roumat (Fra)","1989-1996",61,58,3,"23",5,0,0,0,0,35,25,1,58.19
"448","B Samkharadze (Georg)","2004-2012",61,23,38,"30",6,0,0,0,0,37,22,2,62.29
"449","R Silva Pisano (Urug)","2012-2019",61,55,6,"84",13,5,3,0,0,34,27,0,55.73
"450","S Socol (Rom)","2001-2011",61,56,5,"40",8,0,0,0,0,36,23,2,60.65
"451","TM Vaega (Samoa)","1986-2001",61,56,5,"79",14,4,3,0,0,35,25,1,58.19
"452","DTH van der Merwe (Can)","2006-2019",61,57,4,"190",38,0,0,0,0,19,39,3,33.6
"453","GW Weir (Scot)","1990-2000",61,53,8,"19",4,0,0,0,0,24,35,2,40.98
"454","D Yachvili (Fra)","2002-2012",61,35,26,"373",2,51,85,2,0,37,23,1,61.47
"455","F Corodeanu (Rom)","1997-2009",60,56,4,"55",11,0,0,0,0,31,29,0,51.66
"456","MRD d'Orey Branco (Port)","1996-2007",60,56,4,"25",5,0,0,0,0,31,25,4,55
"457","CW Dowd (NZ)","1993-2000",60,50,10,"10",2,0,0,0,0,47,13,0,78.33
"458","MA Durand (Arg)","1997-2008",60,39,21,"45",9,0,0,0,0,38,22,0,63.33
"459","TGAL Flood (Eng)","2006-2013",60,36,24,"301",4,40,66,1,0,30,28,2,51.66
"460","S Ghizzoni (Italy)","1977-1987",60,59,1,"77",17,0,0,3,0,27,30,3,47.5
"461","M Giovanelli (Italy)","1989-2000",60,56,4,"19",4,0,0,0,0,27,32,1,45.83
"462","AR Irvine (Lions/Scot)","1972-1982",60,60,0,"297",11,26,67,0,0,22,34,4,40
"463","CAI Johnston (PI/Samoa)","2005-2017",60,44,16,"20",4,0,0,0,0,25,34,1,42.5
"464","RST Kefu (Aust)","1997-2003",60,52,8,"50",10,0,0,0,0,40,19,1,67.5
"465","BW Redpath (Scot)","1993-2003",60,52,8,"5",1,0,0,0,0,28,31,1,47.5
"466","IR Tofan (Rom)","1997-2007",60,40,20,"316",12,53,46,4,0,31,29,0,51.66
"467","JW Wilson (NZ)","1993-2001",60,60,0,"234",44,1,3,1,0,45,14,1,75.83
"468","P Benetton (Fra)","1989-1999",59,47,12,"34",7,0,0,0,0,39,19,1,66.94
"469","FE Bunce (NZ/Samoa)","1991-1997",59,59,0,"100",21,0,0,0,0,44,13,2,76.27
"470","V Goneva (Fiji)","2007-2019",59,49,10,"110",22,0,0,0,0,28,29,2,49.15
"471","C Heymans (Fra)","2000-2011",59,46,13,"80",16,0,0,0,0,37,20,2,64.4
"472","PS Johns (Ire)","1990-2000",59,57,2,"20",4,0,0,0,0,22,36,1,38.13
"473","TJ Kiernan (Ire/Lions)","1960-1973",59,59,0,"193",2,27,42,2,0,23,28,8,45.76
"474","S Koto Vuli (Fiji/PI)","2005-2017",59,47,12,"10",2,0,0,0,0,30,28,1,51.69
"475","JC McGrath (Ire/Lions)","2013-2019",59,34,25,"10",2,0,0,0,0,40,17,2,69.49
"476","PPR Mack (Can)","2009-2019",59,33,26,"15",3,0,0,0,0,17,41,1,29.66
"477","JS Montoya (Arg)","2014-2019",59,9,50,"45",9,0,0,0,0,18,41,0,30.5
"478","AD Oliver (NZ)","1997-2007",59,53,6,"15",3,0,0,0,0,42,17,0,71.18
"479","PA Orr (Ire/Lions)","1976-1987",59,59,0,"0",0,0,0,0,0,20,36,3,36.44
"480","SP Poidevin (Aust)","1980-1991",59,59,0,"20",5,0,0,0,0,37,19,3,65.25
"481","JP Rives (Fra)","1975-1984",59,59,0,"20",5,0,0,0,0,39,17,3,68.64
"482","J Salazar Lizarraga (Spain)","2000-2014",59,55,4,"15",3,0,0,0,0,19,39,1,33.05
"483","MA Scelzo (Arg)","1996-2011",59,33,26,"50",10,0,0,0,0,34,24,1,58.47
"484","HFG Southwell (Scot)","2004-2011",59,42,17,"40",8,0,0,0,0,22,36,1,38.13
"485","A Temnov (Russ)","2005-2018",59,52,7,"35",7,0,0,0,0,29,29,1,50
"486","BC Thorn (NZ)","2003-2011",59,51,8,"20",4,0,0,0,0,51,8,0,86.44
"487","F Velazco Querol (Spain)","1995-2006",59,52,7,"81",13,2,2,2,0,23,34,2,40.67
"488","A Vilaseca Hontou (Urug)","2013-2019",59,56,3,"85",13,5,3,0,0,34,24,1,58.47
"489","D Aguirre (Urug)","1992-2007",58,58,0,"115",7,10,20,0,0,23,35,0,39.65
"490","J Bregvadze (Georg)","2008-2019",58,38,20,"20",4,0,0,0,0,32,24,2,56.89
"491","MZV Brooke (NZ)","1987-1997",58,54,4,"89",17,0,0,3,0,45,11,2,79.31
"492","HAW Buydens (Can)","2006-2019",58,46,12,"0",0,0,0,0,0,22,35,1,38.79
"493","MD Chisholm (Aust)","2004-2010",58,33,25,"30",6,0,0,0,0,33,23,2,58.62
"494","L Cittadini (Italy)","2008-2017",58,30,28,"15",3,0,0,0,0,14,44,0,24.13
"495","CM Cullen (NZ)","1996-2002",58,56,2,"236",46,3,0,0,0,42,14,2,74.13
"496","AG Dickinson (Scot)","2007-2016",58,31,27,"10",2,0,0,0,0,23,35,0,39.65
"497","WA Dooley (Eng/Lions)","1985-1993",58,57,1,"12",3,0,0,0,0,35,21,2,62.06
"498","IS Gibbs (Lions/Wales)","1991-2001",58,58,0,"55",11,0,0,0,0,27,29,2,48.27
"499","GR Jenkins (Wales)","1991-2000",58,52,6,"10",2,0,0,0,0,34,24,0,58.62
"500","RN Jones (Lions/Wales)","1986-1995",58,57,1,"19",4,0,0,0,0,24,34,0,41.37
"501","OJ Lewsey (Eng/Lions)","1998-2007",58,56,2,"110",22,0,0,0,0,33,25,0,56.89
"502","D Ohata (JPN)","1996-2006",58,55,3,"345",69,0,0,0,0,27,30,1,47.41
"503","WL Palu (Aust)","2006-2016",58,50,8,"5",1,0,0,0,0,34,20,4,62.06
"504","A Parker (USA)","1996-2009",58,51,7,"5",1,0,0,0,0,23,35,0,39.65
"505","RP Ross (Can)","1989-2003",58,40,18,"419",7,51,84,10,0,30,28,0,51.72
"506","A Shakirov (Russ)","2004-2014",58,37,21,"25",5,0,0,0,0,24,33,1,42.24
"507","FN Tetaz Chaparro (Arg)","2010-2019",58,43,15,"5",1,0,0,0,0,19,39,0,32.75
"508","GW Whetton (NZ)","1981-1991",58,58,0,"4",1,0,0,0,0,50,6,2,87.93
"509","MS Williams (Wales)","2011-2019",58,36,22,"60",12,0,0,0,0,34,24,0,58.62
"510","S Williams (NZ)","2010-2019",58,42,16,"65",13,0,0,0,0,52,5,1,90.51
"511","PE Albacete (Arg)","2003-2013",57,56,1,"5",1,0,0,0,0,24,32,1,42.98
"512","T Allan (Italy)","2013-2020",57,42,15,"320",11,53,52,1,0,11,46,0,19.29
"513","SW Borthwick (Eng)","2001-2010",57,47,10,"10",2,0,0,0,0,29,27,1,51.75
"514","BC Cohen (Eng)","2000-2006",57,54,3,"155",31,0,0,0,0,40,17,0,70.17
"515","E Fairhurst (Can)","2001-2012",57,35,22,"46",4,4,6,0,0,22,34,1,39.47
"516","A Goromaru (JPN)","2005-2015",57,52,5,"711",18,162,99,0,0,40,17,0,70.17
"517","JD Gray (Scot)","2013-2020",57,51,6,"20",4,0,0,0,0,25,31,1,44.73
"518","WJH Greenwood (Eng/Lions)","1997-2005",57,51,6,"155",31,0,0,0,0,44,11,2,78.94
"519","P Jimsheladze (Georg)","1995-2007",57,55,2,"320",9,61,48,3,0,35,20,2,63.15
"520","DJ Jones (Wales)","2001-2009",57,33,24,"0",0,0,0,0,0,26,29,2,47.36
"521","BT Kelleher (NZ)","1999-2007",57,35,22,"40",8,0,0,0,0,46,11,0,80.7
"522","DP Leamy (Ire)","2004-2011",57,41,16,"10",2,0,0,0,0,36,20,1,64.03
"523","G Leonte (Rom)","1984-1995",57,57,0,"19",4,0,0,0,0,26,31,0,45.61
"524","T Mchedlidze (Georg)","2013-2020",57,46,11,"35",7,0,0,0,0,33,22,2,59.64
"525","BJ Mullin (Ire/Lions)","1984-1995",57,57,0,"72",17,1,0,0,0,19,37,1,34.21
"526","DW Mumm (Aust)","2008-2016",57,25,32,"25",5,0,0,0,0,33,24,0,57.89
"527","J Ortega Desio (Arg)","2012-2019",57,44,13,"25",5,0,0,0,0,19,38,0,33.33
"528","MZ Petri (USA)","2007-2015",57,40,17,"33",6,0,0,1,0,19,37,1,34.21
"529","JMD Pinto Neves (Port)","2001-2012",57,38,19,"22",3,2,1,0,0,22,31,4,42.1
"530","CG Rowntree (Eng/Lions)","1995-2006",57,48,9,"0",0,0,0,0,0,38,18,1,67.54
"531","R Slimani (Fra)","2013-2019",57,35,22,"20",4,0,0,0,0,25,31,1,44.73
"532","R Barkwill (Can)","2012-2018",56,44,12,"25",5,0,0,0,0,19,36,1,34.82
"533","P Berbizier (Fra)","1981-1991",56,55,1,"28",7,0,0,0,0,32,23,1,58.03
"534","OM Brown (NZ)","1992-1998",56,56,0,"20",4,0,0,0,0,40,14,2,73.21
"535","MJ Cueto (Eng/Lions)","2004-2011",56,56,0,"100",20,0,0,0,0,29,26,1,52.67
"536","MB James (Can)","1994-2007",56,56,0,"20",4,0,0,0,0,26,29,1,47.32
"537","LMN Jones (NZ/Samoa)","1986-1998",56,54,2,"56",13,0,0,0,0,43,11,2,78.57
"538","AD Kellock (Scot)","2004-2013",56,32,24,"5",1,0,0,0,0,24,31,1,43.75
"539","PJ Lambie (SA)","2010-2016",56,22,34,"153",2,25,27,4,0,33,23,0,58.92
"540","TE Lavanini (Arg)","2013-2019",56,49,7,"15",3,0,0,0,0,17,39,0,30.35
"541","LR MacDonald (NZ)","2000-2008",56,34,22,"141",14,25,7,0,0,48,8,0,85.71
"542","JJ May (Eng)","2013-2020",56,55,1,"145",29,0,0,0,0,39,16,1,70.53
"543","F Mesnel (Fra)","1986-1995",56,54,2,"41",8,0,0,3,0,38,17,1,68.75
"544","AR Persico (Italy)","2000-2006",56,45,11,"10",2,0,0,0,0,15,41,0,26.78
"545","JT Robinson (Eng/Lions)","2001-2007",56,52,4,"150",30,0,0,0,0,39,17,0,69.64
